nama,komentar,sentimen,waktu
Miftahuda Adam,Membuat dua model pembelajaran tidak mudah yaaaa.... Kasian gurunya,negatif,2020-08-20T15:58:11Z
Supra Dito,Memang sulit membuka kecurangan di instansi sendiri,negatif,2020-08-20T15:56:12Z
Burung burung,Memang SMART pak menteri nadiem makarim....,positif,2020-08-20T15:53:11Z
Reni Adiani,memang mas nadiem pilihan terbaik utk saat ini. terlihat jelas banget visi dan misinya. super proud mas nadiem.,positif,2020-08-20T15:51:46Z
Dr Kardiana Dewi,"Memang cerdaasss pak Nadiem ini! ?????? \nSmoga bisa terus memberikan kontribusi terbaik bagi bangsa ya pak ????\n\nTidak mudah yg anda lakukan... tapi kami percaya, bapak akan mengupayakan yg terbaik bagi pendidikan bangsa ini ?????\n\nSmangaattt paakk Nadiem! ??????????",positif,2020-08-20T15:51:37Z
ivan asikin,Memang bukan yg terbaik kok...harusnya posisinya harusnya  di menteri berbau teknologi...karena dari posisi ketua gojek menjadi mendikbud itu kurang tepat...karena dunia pendidikan itu berbeda...,negatif,2020-08-20T15:51:19Z
Dinasty Rod Custom DRC,"memang ada hal yg positif tapi tdk sedikit yg negatif, apakah disas pendidikan daerah melakukan kontrol peda sekolahan2.\nsekolah ditempat saya aja kepala sekolah, guru, komite pada mati suri",negatif,2020-08-20T15:47:48Z
Telly Nahlu Rizal,Memaksakan ketidak normalan menjadi sebuah kenormalan...,negatif,2020-08-20T15:43:20Z
Gundala Wejasena,Melakukan yang terbaik. Luar biasa,positif,2020-08-20T15:20:54Z
Listiyana Dewi Puspasari,Media sosial kadang menjadi momok untuk orang tua di masa pandemi jika tidak melakukan pengawas  dan perhatian kepada anak dengan benar,netral,2020-08-20T15:10:21Z
arjuna putra,May be can be good,positif,2020-08-20T15:04:35Z
Devita Fullia,"Mau tau, knp msk sekolah utamakan umur? Blm tau alasany mungkin ada yg bisa jelasin",netral,2020-08-20T14:39:20Z
Luny Janah,Mau tanya ada ga sekolah TK yang buka?,netral,2020-08-20T14:35:19Z
Airlangga Airlangga,"Mau tanya , kenapa bertemu untuk ke sekolah syarat nya lebih rumit di banding pergi ke mall, karena saat ini mall sudah mulai buka, padahal sekolah lebih mudah di control, dari pada mall yang kita ga saling kenal siapa.yang ada di sana",netral,2020-08-20T14:13:44Z
aditya laksana,"Mau share aja nih, karena banyak mahasiswa yang protes, tapi saya mau ngasi tau sisi lain saya selama PJJ. Saya mahasiswa S1, dan terus terang nih, sejauh ini saya sendiri nyaman sama PJJ. Mungkin bukan 100 persen karena usaha menteri saja, tpi juga karena bagaimana kampus, lbh khususnya prodi saya menyiapkan PJJ dengan baik. Memang sih lbh nyaman tatap muka, tpi saya g merasakan keresahan yang berlebihan karena PJJ. Tantangan selama PJJ memang besar, tapi saya sebagai mahasiswa saya merasakan bbrp benefit karena PJJ. Secara finansial saya g keluar uang buat kost, laundry, bensin, dll. memang keluar kuota banyak tpi bagi saya itu lbh irit drpda biaya kebutuhan lain. Kegiatan perkuliahan saya jd lbh efektif yang mana umumnya hampir setiap hari saya begadang (karena mahasiswa arsitektur, tau sendiri lah. dan begadang pun di kos, bukan ke cafe2 yang harus keluar biaya ngopi lagi dan saya ga pernah haha hihi diluar) saat PJJ saya jd bisa menambah jam tidur saya. Saya malah justru bisa berolahraga, baca buku lebih banyak, dan menjadi lebih disiplin, yang mana ga bisa saya dapatkan sepenuhnya saat tatap muka. Bagaimana nila saya? aman IP saya sem ini 3,71. relasi saya baik2 saja, dan bahkan saya skrg bs menjadi asdos. Oh ya keluarga saya jg bukan dari keluarga yang kaya2 amat yang kalo keluar uang jg msh mikir2 buat kebutuhan lain :). Oh ya saran aja buat teman2 siswa dan mahasiswa, kalau kalian ada kendala PJJ mungkin pertama2 kalian bisa kasi saran dan kritik ke pihak2 yang terlibat langsung, seperti guru dan dosen yang terlibat. Karena bagi saya mereka kunci utama dari PJJ.",netral,2020-08-20T14:10:40Z
Careesa Vlogs,"mau nangis denger pak nadim ngomong, kok pinter dan kepikiran bikin program ini..., saluuutt banget",positif,2020-08-20T13:43:20Z
Muh Isrha,Mau kasi saran klw bisa kepada pak Nadiem yang di zona hijau dan kuning siswa siswinya bisa di baurkan jadwal 50% masuk pagi dan 50% masuk siang. Itu mungkin lebih opitmal krna memang betul tatap muka itu penting,netral,2020-08-20T13:43:10Z
mika mika,"Masyarakat indonesia kaget pak, tapi ini 'harus' ..malah terjadi lebih awal karena hadirnya pandemi.",netral,2020-08-20T13:21:33Z
Our Kitchen,"Masya Allah..mas Nadiem jenius,ber empati tinggi pula.semoga senantiasa dimudahkan,dilancarkan segalanya.",positif,2020-08-20T13:18:34Z
adhi kurniawan,Masukkan saya untuk membantu rakyat yang kurang mampu untuk dilakukan pembelajaran melalui TV dengan memanfaatkan TVRI dan radio melalui RRI,netral,2020-08-20T13:10:03Z
herdo dp,masih ada yang mau bilang sekolah tidak penting ?,netral,2020-08-20T13:01:47Z
Mur Dianto,"Masalah Pendidikan Sebelum Pandemi. sudah bermasalah. \n\nBaru coba Maju 1 Step, langsung Corona. Sebuah Kesialan.",negatif,2020-08-20T13:00:43Z
Erlin Rimbawati,"Masalah nya belajar online ini membuat sekolah terkadang tidak sanggup membayar guru karena ortu siswa ga mau pada bayar,kadang pengaruh ke gurunya ga pada dibayar full, kalaupun ortu bayar full spp ttp aja pihak sekolah kadang ada yang nakal membayar guru honorer setengah gaji... kesimpulan nya pandemi ini oleh sebagian oknum Pendidikan dijadikan ladang korup... ujung ujungnya guru honorer di daerah semakin miskin. Saya mau pemerintah membela guru honorer    dan memperjuangkan generasi kita... sekali lagi saya bicara ttg guru honorer bukan PNS yang sudah jelas sejahtera",negatif,2020-08-20T12:44:46Z
Ridho Rifqi,masalah nya adalah fasilitas dan efektifitas karena fasilitas tidak semua siswa memiliki dan terpenuhi.\ndan soal efektifitas tidak terlalu efektif karena tidak semua siswa mudeng dan tidak semua guru memberikan kejelasan yang sejelas jelasnya kepada siswa siswanya.,netral,2020-08-20T12:38:08Z
Dewi Intan,"Masalah dalam pembelajaran sekarang itu ""kuota""",negatif,2020-08-20T12:17:59Z
farkhan mahatma ananda,masalah  pendidikn adalah kultur bermasyarakat indonesia mau pandemi ini 10 tahun kalau dari diri masing masing individu memiliki semangat belajar dan rasa ingin tau yang besar pasti dia akan berkembang sendiri tinggal kementrian menyediakan apapun yang dapat membantu proses ini cuman kultur di indonesia adalah bahwa pendidikan hanya di sekolah,netral,2020-08-20T12:17:38Z
Komeng Ar,"Masadepan bangsa ditentukan pendidikan, negara lain dah buka sekolah tatap muka",netral,2020-08-20T12:14:38Z
Sivha Sivha,mas nadim menjawab dg lugas tegas dan rasional??,positif,2020-08-20T12:12:10Z
xyndent,Mas Nadiem.. am a teacher and you are my hero. hopefully we can change the system together!,positif,2020-08-20T12:09:36Z
Malika_ channel,"mas nadiem,,,, anda ...\n\n\nKEREN",positif,2020-08-20T12:08:44Z
Yog Yok,"Mas Nadiem yg sdh berada di zona nyaman, tp tetap tabah dan ikhlas di zona yg sulit. Semoga Allah melindungi dan menuntun mas Nadiem.",positif,2020-08-20T12:05:28Z
mainan asik,"Mas nadiem seorang termasuk orang terkaya di indonesia aset perusahaan gojek 70 T dalam waktu 10 tahun,  ngapain klo dia gak peduli indonesia dia sibuk2 mikir bangsa, enak senang2 aja nikmatin hidup, tapi nadiem gak gitu , beliau mikirin rakyat",positif,2020-08-20T12:03:48Z
Hii,Mas nadiem kepemimpinan di sekolah perlu di evaluasi atas permendikbud no 6 thn 2018 ttg jabatan kepala sekolah negeri. Alangkah baiknya di evaluasi masa jabatan yg terlalu lama sampai 12 thn. Dan hal ini menutup peluang guru muda yg punya potensi dgn era milenial,netral,2020-08-20T11:54:09Z
Herlina Kristal,Mas Nadiem hebat\nMasih muda dan mau yg terbaik utk semua masyarakat.\nProud of you,positif,2020-08-20T11:43:55Z
Debora Maria,"Mas Nadiem ....sy salut dgn kerendahan hati anda .Positif thinking anda , pemikiran yg jauh ke depan ....demi masa depan anak 2 bangsa ini . Doa sy kiranya Tuhan memberi anda kebijaksanaan , kekuatan dan team work yg solid utk mendukung ide ide anda yg brilian . Inilah hasil kl ' otak ' pernah direbus di Harvard .Sy berpikir berapa ya IQ Mas Nadiem .....setidaknya 140. = jenius .Maju terus Mas Nadiem ...kami mendukungmu",positif,2020-08-20T11:25:29Z
Wisnu Ekosaputroo,Mas Mentri......pasti ada jalan.( Gojek Indonesia).semangat mas Mentri.....heheheh,positif,2020-08-20T11:24:27Z
ASA alauddin,Mas mentri.. bagaimana rencana anda dgn adik2 di daerah timur yg serba terbatas,netral,2020-08-20T11:17:39Z
Fandi Uchiha,"mas mentri, coba pelajarin gimana caranya jepang bisa berhasil setelah hirosima dan nagasaki di bom. mungkin sedikit bisa membantu walaupun case yg sekarang berbeda. namun ada kesamaan, \reducation after war, SEMANGAT BERSAMA 75 TAHUN INDONESIA MERDEKA, CACI MAKI GA ADA HABISNYA, MARI SALING DUKUNG",positif,2020-08-20T11:08:38Z
syamsul arifin,"mas mentri satu ini kalau cuman rebahan sudah enak bgt lho hidupnya, dia anak konglomerat anwar makarim, dia founder perusahaan yg kini sudah decacorn\ntapi dia rela melepasnya demi memikirkan masadepan bangsa, gitu masih dicaci\n\nsemoga beliau selalu sehat dan terjaga dari segala fitnah",positif,2020-08-20T11:07:05Z
Niltal Studio,"Mas mentri kenapa kami para siswa sekolah swasta di diskriminasi, kami tidak mendapatkan bantuan kuota belajar sedikit pun dari sekolah, kenapa kami tidak dapat padahal yang lain dapat, apakah karena kami siswa sekolah swasta? tolong bantu kami juga, kami juga pelajar",negatif,2020-08-20T11:01:52Z
data negara one,"Mas Mentri hebat, program tatanan di kementrian pendidikan juga hebat tapi dibawah perlu pengawasan ketat Mas, khususnya pengawas pendidikan didaerah pelosok.",positif,2020-08-20T11:01:23Z
Ummu Aleva,"Mas Mentri dampak anak yg daring tp kepencet situs negatif without any control from adult, coincedence situation... What a worst impact that logically happen.  Gmn mas mentri.. Bnyk waktu yg tdk selalu disertai orang dewasa/orangtunya loh ketika ada konten negatif yg kepncet dan bikin penasaran anak? Again n again.. Kan bnyk anak yg ga sehebat orang kota, yg dikampung itu anak2 yg ga ngerti ga bs memfilter konten itu log, gurunya juga ga all time with them to control it",negatif,2020-08-20T10:48:03Z
Mudjiati Mudjiati,Mas mentri ak mendukungmuu ??????\n\nTetap semangatt ??,positif,2020-08-20T10:47:31Z
bunda oriza,"Mas menteri...sy pun merasa, pas diangkat jadi kepsek, pas pandemi\n?? pucing\n\nApalagi mas menteri....tetap semangat\nSemoga mas menteri sehat selalu",positif,2020-08-20T10:45:34Z
toni saputra,"Mas Menteri, selain guru dan siswa yang diberikan bantuan pulsa/paket data, kiranya operator yang bekerja demi kepentingan sekolah dipikirkan juga",netral,2020-08-20T10:29:00Z
Sri Sitepu,Mas menteri terima kasih atas sharingnya. Semangat untuk melakukan revolusi pada sistem pendidikan.,positif,2020-08-20T10:20:44Z
Purwanty Sri,Mas menteri side effect Dari PJJ mamak mamak jadi repot Karena penyampaian module Dari sekolah hrs Di translate kepada anak. Apakan bisa disederhanakan Tampa merubah goal Dari kbm?,negatif,2020-08-20T10:10:00Z
amilah yusfiana,"Mas menteri mmg smart,  tapi kurang pengalaman  bergaul",positif,2020-08-20T10:09:21Z
Arya,"mas menteri let's make it happen, youre doing the best for indonesia.\nGREAT JOB ??",positif,2020-08-20T10:06:40Z
Dewi Rayungsasi,Mas Menteri kita ini waktu bagi2an otak dari Tuhan ada paling depan.. Subhanallah,positif,2020-08-20T09:59:35Z
Arianto Taufiq,Mas Menteri ini keren banget.. Semangat Pak..,positif,2020-08-20T09:59:16Z
Chafeedz 2012,"Mas menteri cerdas, toopppp ??",positif,2020-08-20T09:57:42Z
Suprapto Suryodiharjo,"Mas menteri , ahli technolog, technopreneur,dapat duit dari tehnologi...tapi gagap saat jadi menteri pendidikan, wajar sh karena BUKAN BIDANGNYA...saat pandemi kementrian yang beliau pimpin termasuk yang paling terbelakang,dengan tehnologi yang sudah 5.0, Kementrian pendidikan hanya mampu bikin konsep belajar lewat TVRI, itu juga sudah mulai ditinggalkan karena tidak efektif.....lainnya...zong...baru mau mengeluarkan kurikulum darurat ketika sekolah sudah berjalan 2 bulan,terus mau dibawakemana pendidikan kita ? mending sekolah distop aja semua,mulai lagi tahun ajaran baru di bulan januari,toh dulu tahun 70an,sekolah kita tahun ajarannya juga pernah di bhulan januari..",negatif,2020-08-20T09:57:34Z
Astrijono bakti,Mas mententri yg mendpt kuota internet itu daerah mana aja ? Jgn 2 yg tau soal2 dana turun hanya kepala sekolah aja ! Muridnya nggak pernah tau! Taunya disuruh bayar spp,negatif,2020-08-20T09:56:44Z
Taopiknh Hidayat,mas jangan diskusi sama mentri luarnegri lainnya ...coba tanya ke rumput yang bergoyang,netral,2020-08-20T09:52:27Z
Henny Hartati,Mas dedy. Sy ibu rumah tangga. Bingung dgn SDN anak sy. gk ada pelajaran b.ingrs sama sekali. Dr kls 1 sampai 6.??????,negatif,2020-08-20T09:48:37Z
yanti isriyanti,Mantap...,positif,2020-08-20T09:37:13Z
Hasan Albana Official,Mantap saya setuju dengan pak nadiem\nKapan kiranya kurikulum baru tersebut diluncurkan ? Apakah menunggu tahun ajaran baru atau sesegera mumgkin peluncurannya ?\nTerimakasih,positif,2020-08-20T09:29:36Z
NIZAR Fazrina,Mantap om Dedi..\nSetuju tatap mukaaaa...,netral,2020-08-20T09:23:50Z
fentie utamie,"Mantap mas Menteri saya seorang Guru memang byk org tua yg mengeluh dg PJJ yg anaknya satu, dua dst. Padahal guru di sekolah hampir 20-30 siswa.\nArtinya hikmah covid ini orang tua jd faham bagaimana sulitnya mendidik anak.",positif,2020-08-20T09:16:49Z
m ichlas junior,"mantap lah nadiem makarim, jika salah bilang salah dan perbaiki, jika benar kembangkan. yaaa jika aku salah koreksi ty....",positif,2020-08-20T09:15:59Z
Kokom Komariah,Mantap buat pa menteri ????,positif,2020-08-20T09:15:02Z
Sisca Fahrudha,"Mantap banget bapak Nadiem ,,, :')...",positif,2020-08-20T09:13:59Z
Sartika Tika,Mantap,positif,2020-08-20T09:10:45Z
bowo dwi,Mantap,positif,2020-08-20T09:08:39Z
Sahabat Parabola,mantabs!!!,positif,2020-08-20T09:02:14Z
Gabriel Lakamnasi,Mantab Pak Nadiem Lanjutkan,positif,2020-08-20T08:58:57Z
TAB AKO,mana PR gue bantai semua njg PR malah kurang,negatif,2020-08-20T08:44:47Z
Rifky Ananta Risal,"Mall kan dibuka? Kenapa skolah gak dibuka? Caranya agar menghindari covid di skolah yah wajib pakai masker siswa yg masuk 50% sosial distancing bawa bekal masing"" Yah gampang...belajar di rumah bukan makin pintar tapi tambah bego gw",negatif,2020-08-20T08:41:49Z
Budi Fara,"Mall di buka, bioskop boleh, kantor juga boleh.. napa sekolah gak? Biaya PJJ lebih membebankan orang tuanya. Yg pertama kuota, ke 2 orang tua melihat anak malas krn belajar yg menjawab adalah google, mereka bisa mencari di google, sama halnya mereka menyontek, ke 3 pelajaran yg diberikan hanyalah angin lalu saja dan tak tertanan di otak anak. Apakah efektif? SANGAT TIDAK EFEKTIF. Kuota yg dipakai bukan hanya kuota anak saja, tp hp ke 2 orang tuanya juga. Terkadang guru memberikan link video dr youtube, lalu ling soal berbeda lagi, lalu link untuk mengirim jawaban atau hasil nilai berbeda lagi. Alhasil 3 handphone dipakai.. anda jangan menguntungkan pihak google dan membebani orang tua yg gajinya tidak besar, anda jangan berfikir ini efektif. Rubah mainset otak anda. Yg belajar di sekolah aja masih banyak yg males2an dan gak paham, apalagi yg dirumah? Sekarang sedang sulit cari uang, masa cofid 19 ini beban rumah tangga sudah banyak. Jangan ditambahkan dengan beban pendidikan yg belum jelas..",negatif,2020-08-20T08:40:41Z
Agustine Handayani,Malah orang tua yg takut anak nya kena covid mending dirmh belajar nya sih,netral,2020-08-20T08:37:22Z
N.A Brothers Corp.,"Maksud pak Nadiem adalah pengembangan Kurikulum, sehingga kita ngga seharusnya pasrah dengan Pandemik  melainkan kita juga harus bergerak sesuai protokol untuk menemukan pembelajaran *Baru* yang penting, dan menambah pengalaman pada siswa di zaman yg sudah masuk millenial ini\nKarena apa siswa lebih mengerti jika..., pembelajaran itu menarik dan membuat alam bawah sadar siswa mengingat pembelajaran tsb hingga ia tahu di suatu peristiwa tsb ia belajar 1 pelajaran (Matematika)\nNah lab dalam artian Pak Nadiem Guru harus memanfaatkan pembelajaran POP secara dan dengan cermat dan koefisien mereka sendiri yg natabene membutuhkan biaya luar biasa besar, menjadi lebih terjangkau dan memberikan memorable moment pembelajaran ke anak didik, kelak ia akan ingat pembelajaran ini itu karena memorable moment yg mereka dapat dr guru millenialis\nMasalahnya.... 1 om dedy dan pak #nadiem transformasi antara generasi tua yang notabene mereka mulai gagal belajar cara millenialis, menuju ke generasi baru yang tau millenial itu apa sangat seret/susah di terapkan dengan cepat, mohon pak #nadiem cara agar transformasi antar era agar lebih cepat di tengah pandemi ini bagaimana? Apakah ada solusi pak Nadiem? \n#nadiem #deddycorbuzier\nSiap ga siap inilah saatnya new transformation Old school to milenial Learning\nTerimakasih??????",netral,2020-08-20T08:35:28Z
Vita fitria agnes Supit,Makasi pak mentri...sy org tua yg pny anak Sd kls 5 dan SMP kls 9..mmg sulit sy membagi wkt membimbing anak2 ketika jam bljr dimulai dgn wkt tugas sy sbg iBu RT...sy mengharapkan kurikulum yg mudah dan sesuai situasi kondisi anak.\nDan anak sy jg sdh sgt rindu teman2 dan suasana di sekolah ????\n\nSemangat trs pak mentri Nakarim...kami org tua sellu mendukung prog.pemerintah khususnya di bid.pendidikan,positif,2020-08-20T08:35:24Z
John Tri,"Makarim buat kerja banyak menghayal kari, memang ngak ada skill dibidang pendidikan,  nampak teori saja,  susah kalau kerja ngak ada skil dibidangnya, jdnya bodoh rakyat macam ini,  inilah pendidikan melenial, loyo, no skill no job,",negatif,2020-08-20T08:31:35Z
yati supri,Makanya jangan mikir negative nya aja semua pasti ada plus minus nya,netral,2020-08-20T08:29:35Z
Nada Nadhifa Azhar,majuu pa mentri semangatttt,positif,2020-08-20T08:22:43Z
Sally Siahaan,"Maju trus dan semoga selalu bisa sabar ya pak mentri ??, memang bukan tugas mudah menghadapi keadaan ini",positif,2020-08-20T08:22:18Z
Pratama Radiator,"Maju Teruuuus... Mas Nadiem... \nSelama Langkah Kita Benar dan Baik utk Bangsa, Walaupun Harus Menyingkirkan Makanan yg Selama ini Menjadi Makanan Yg Mmpunyai Kuasa.",positif,2020-08-20T08:21:28Z
putri love s channel,"Maju terus pantang mundur pa Menteri dg inovasi Pendidikan di Indonesia,untuk Indonesia Jaya??",positif,2020-08-20T08:11:23Z
Muhammad Raihan Pribadi,Maju Terus Pak Nadiem.,positif,2020-08-20T08:10:43Z
YULIS CENEL,MAJU TERUS PAK MENTRI  SEMOGA SUKSES MAJU TERUS INDONESIAKU,positif,2020-08-20T08:08:25Z
Very valenthino Nurak,"Maju terus mas mentri, indonesia yg blum siap dengan anda...tp mau tidak mau kita harus maju..jaln kan ap yg menurut anda benar",positif,2020-08-20T08:07:33Z
Sanjuro Okinawa,maju terus mas menteri jangan kasi kendor....,positif,2020-08-20T08:07:32Z
Ester Evalinda,"Mahasiswa belum pernah ada tatap muka pak dari awal pandemik\nSaya berharap walaupun ditengah pandemik seperti ini saya ingin tatap muka, walaupun separuh jadwal aja kami ingin Tatap muka. \n\nMohon di pertimbangkan pak nadiem semoga kami Mahasiswa bisa tatap muka lagi ????",netral,2020-08-20T08:06:34Z
Muhammad Jihad,Mahasiswa  ingin berkuliah  tatap muka kembali.,netral,2020-08-20T07:59:12Z
Abdullah Amanah,"maap mas menteri, kalo kritik saya keras.. ya sampeyan mentri sih.. tp saya akui sampeyan memang seorang yg cerdas",positif,2020-08-20T07:47:58Z
SEMESTA JAGAT ALIT,"Maaf, Mas Nadiem, tugas untuk anak semakin banyak. Kira2 kapan reduce nya?",negatif,2020-08-20T07:46:00Z
muhammad ihsan jais,maaf yah mas nadiem .. \nsumpah gua kesel aja kalo lu lagi bicara soal pendidikan di indonesia.. \nseolah olah lu tau yg terbaik untuk pendidikan indonesia padahal gak sama sekali.. yg lu lihat cuma sekolahan yg ada di kota.. dan parahnya sistem lu yg sekrang.. lu sama ratain ke seluruh daerah.. ada namanya daerah zona hijau.. ga semua daerah d indonesia itu zona merah..\n\ntau ga kacaunya para orang tua dalam mengajari anaknya yang mereka saja kadang tidak paham dengan pelajaran anaknya...,negatif,2020-08-20T07:43:42Z
ANDI RAHMAT AGIL KUSUMA,"Maaf ya mas...\nMengenai ini apa semua siswa mempunyai HP apa semu orang mampu membeli kuota apakah semu wilayah di Indonesia sudah dijangkau sinyal, mengenai dana pulsa dari dana bos, sampai sekarang aja tidak ada pulsa yg masuk ke-HP saya tidak ada.....",negatif,2020-08-20T07:38:30Z
Whet Nazilata,Maaf untuk mas mentri \nSaya mau tanya berapa persen kah siswa seluruh indonesia yang sudah mengikuti program Orginasasi pendidikan diluar pendidikan pemerintah dan yg tidak?\nTapi jangan lupa masih banyak banyak sekali sekolah2 dipelosok negeri indonesia yg tidak layak pakai dan sekolah2 daerah2 terpelosok yg kekurangan guru pengajar kanapa itu bukan program pertama yg harus diperhatikan lebih khusus oleh mas mentri.maaf soal kata2 saya yg kurang baik.,netral,2020-08-20T07:34:27Z
Edison Saja,"Maaf sebelum nya saya ingin memberi saran bukan maksud menggurui, bagi yang masih bersekolah dan berkuliah karena masih melakukan pembelajaran dan karena di masa pandemi ini kemungkinan banyak waktu luang dan saya saran kan cepat lah memanfaatkan waktu di saat ini kalian bisa juga bisa sambil melakukan sesuatu yang bisa menguntungkan kalian sendiri. Di mana bagi kalian yang suka sama game ikuti lah kompentisi atau turnamen kalau kalian senang, bila cewek gemar main sosmed atau tiktok bangun lah komunitas kalian sendiri untuk sukses menjadi influncer atau menjadi penjual di e commerce seperti tokopedia, shopee. kalau kamu mau jadi penulis buatlah tulisan dan kalau mau jadi apapun itu buatlah sekarang, belajarlah dan berlatihlah di saat tidak ada waktu untuk pergi bersekolah. Ciptakan tujuan mu mau menjadi apa sekarang.",netral,2020-08-20T07:32:22Z
Sura Tmi,"Maaf Pak Mentri, says tidak dapet mendampingi anak secara lgs, karena says harus bekerja dan terpisah, hanya Ayahnya yang di Rumah, tapi mereka merasa tidak punya kemampuan untuk  mendampingi belajar. Saya hanya bisa memberi suport jarak jauh, dan memberikan motivasi.  Kadang mereka merasa kesepian......",negatif,2020-08-20T07:28:29Z
Hoky Time,"Maaf Pak Mentri Mas Dedy..,,,dan Tolong Pak Mentri...,fikirkan Nasib Guru2 dan Tenaga Honorer...,,kesejahteraannya miris...,kerja siang malam...di bayar miris...,,pada kenyataannya yg kerja lebih berkopeten yg Honorer dari pada yg PNS..,,crosscek aja ke Lapangan langsung...di desa desa...banyak...,,HONORER Dibebani pekerjaan yg lebih...banyak,,Tolong fikirkan Nasib Tenaga Honorer...",netral,2020-08-20T07:24:11Z
CELEBES UD,"Maaf pak Menteri, Indonesia Krisis pembelajaran atau krisis pendidikan..?",netral,2020-08-20T07:16:54Z
Ahmad Fani Desyanuri,"Maaf om Dedy, kalau kak Nadiem sendiri bilang bahwa belajar tatap muka sangat penting, kenapa tidak dipermudah saja persyaratannya? Toh ya sekarang tempat? ramai seperti mall dan pasar malam sudah ramai lagi seperti tidak ada Corona. Masa tempat belajar & menuntut ilmu yang lebih penting malah ditutup?!!",negatif,2020-08-20T07:15:22Z
Silviana,luv u pak nadiemm ! <3,positif,2020-08-20T07:14:55Z
Putri Yanti,Lulusan angkatan KORONA MANA SUARANYA!!!!,netral,2020-08-20T07:14:13Z
siti jumilati,Luar biasa....,positif,2020-08-20T07:13:27Z
Tenri Yanie,"Luar biasa. Cerdas dalam berpikir, terstruktur di dalam tutur kata, dan berani dalam mengambil keputusan. Salute",positif,2020-08-20T07:13:27Z
Ari Fin,"luar biasa, smenjak nadiem mnjabat , anak2 yg bodoh n tolol jdi pintar2, tidak pada main game lgi , jutaan anak2 yg gk punya hp dibeliin smua oleh pemerintah lwat mentri pendidikan, kuota melimpah dikasih gratis buat belajar n garap tugas ,..   \ninilah kerja yg luar biasa, \npendidikan merokettt .....",positif,2020-08-20T07:05:01Z
Mamat Toena,"Luar biasa program bapak, kami sepakat tp tlong juga diperhatikan apakah program tersebut sdh melalui survey pd kami didaerah pelosok ? Penerus Generasi bukanlah sebagai bahan ujicoba pendidikan karena bisa berdampak pd SDM masa depan, apalagi program ini lbih keproyek para pengusaha yg mengesampingkan organisasi PGRI, NU, dan Muhmadiyah.",netral,2020-08-20T07:02:36Z
Tumbur M. Silalahi,luar biasa pak menteri.... cerdas..handal..rendah hati.. sukses buat Indonesia jaya. Memajukan negara adalah lewat pendidikan,positif,2020-08-20T07:00:28Z
#anakdesa official,Luar biasa mas nadim ta kenal maka ta sayang,positif,2020-08-20T06:57:08Z
Raditya Rizki Ananta,Luar biasa mas menteri????,positif,2020-08-20T06:53:51Z
Aly Almaj,Luar biasa mas Menteri... \nsemoga maju terus dan terus menjadi lebih baik. \nsemoga sehat selalu dan panjang umur. Untuk Indonesia yang maju dan lebih baik.,positif,2020-08-20T06:52:58Z
kang syarif 100,lu itu gila.,negatif,2020-08-20T06:50:26Z
ita Hamid,"Love thin man .... semoga sehat mas Mentri dan mas Dedy dan  panjang umur ... bravo ??????semangat ... semoga cucu2 saya kedepan bisa tatap muka dengan guru2 nya... \n\nSama mas mentri dan mas dedy, cucu2 saya sekali2 ketemu satu dua temen nya ..main bareng, tpi tetep cuci tangan dan pake masker ..",positif,2020-08-20T06:46:26Z
Abdul Gopur,"Loe gaji sama rakyat, maka dengar kata rakyat yang banyak..!\nBeda dengan perusahaan, loe yang tanggung sendiri..!\n\nIni negara, loe yang ambil putusan salah, loe ngga rugi tapi rakyat yang rugi..!",negatif,2020-08-20T06:42:18Z
CREPER HUSK ENDER,literally..your solution make us over burden.,negatif,2020-08-20T06:37:57Z
Juwita Retno,Lihat percakapan kalian ...nangis aku...anak anakku msk dlm generasi yg hrs dirumah trs selama pandemi.... sedih,negatif,2020-08-20T06:32:30Z
Langgeng Santoso,LENGSERKAN !!,negatif,2020-08-20T06:21:39Z
satwa lovers,Lebih sabar dan sykur ya mas Mentri..salam sehat sukses bahagia. Anak anak masa depan pasti mengenang anda..sebaga manusia pembelajar sejati..,positif,2020-08-20T06:21:09Z
my oto,"Lebih parah mana bodo 1 generasi dari pada bodo 1 pemerlintahan, saya rasa lebih baik order seperlunya aj sesuai keperluan jangan berlebihan karena makan berlebihan gak baik untuk kesehatan, terima kasih saya senang menjadi tidak waras di negeri ini, karena asupan orang berbeda sesuai selera.",netral,2020-08-20T06:15:35Z
No Problem,"Lebih hebat pak anies waktu jadi mendikbud,  hihihi",netral,2020-08-20T06:09:55Z
Heri BM,Lebih baik divoting aja banyak mana yg mau sekolah normal atau PJJ,netral,2020-08-20T06:06:51Z
Mohammad Azizul Bazarun,learning by project lebih tepat untuk saat ini,netral,2020-08-20T06:03:49Z
Irvan P,"Lapor pak menteri. Guru"" disekolah saya cuma ngasih tugas tapi ga ngasih materi. Tolong pak menteri ditindaklanjuti.. kita juga butuh ngerti pelajarannya. Bukan hanya tugas"" saja. Kita siswa sudah cukup lelah dengan tugas"" saja pak, tanpa ngerti materinya. Semoga ditindak lanjuti ya pak.. \n#merdekabelajar",negatif,2020-08-20T06:02:47Z
Yusuf fathuddin,Lanjutkan online lagi pak,positif,2020-08-20T06:00:58Z
Mudjiono Nono,Lanjut. .mas nadim dan  jgn takut salah . .lakukan dgn kebenaran. .indonesia pasti bisa. .salam sehat mas nadim,positif,2020-08-20T05:57:04Z
